coverage,ret_seed,scenario,origin,destination,b1_tt_s,b2_tt_s,b3_tt_s,b4_tt_s,fw_tt_s,red_vs_b1,red_vs_b3,n_replannings,fw_lat_ms,n_affected,n_affected_obs,incident_visible
1.0,0,peak_hour,18,160,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,427.6248364781035,0.0,0.0,0,1.7646400010562502,0,0,
1.0,0,peak_hour,135,90,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,437.5599237118443,-0.6995439894812246,-0.6995439894812246,0,0.5090339982416481,0,0,
1.0,0,peak_hour,89,177,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,491.15960157513643,-0.07379034425065449,-0.07379034425065449,0,0.23332999990088865,0,0,
1.0,0,peak_hour,152,157,397.7094044553435,398.2050029322493,397.7094044553435,398.4122654506749,398.4122654506749,-0.17672727560817703,-0.17672727560817703,0,0.8407170025748201,0,0,
1.0,0,peak_hour,14,200,667.5857305564498,630.6968060275057,667.5857305564498,607.0960201440404,607.0960201440404,9.060965153043293,9.060965153043293,0,0.2750100029516034,0,0,
1.0,0,peak_hour,92,184,363.10190800185524,360.8510023074765,363.10190800185524,360.8510023074765,361.3884024770587,0.471907606937654,0.471907606937654,0,0.12365599832264706,0,0,
1.0,0,peak_hour,75,200,612.591295075461,601.7519479274109,612.591295075461,612.591295075461,612.591295075461,0.0,0.0,0,0.3010239961440675,0,0,
1.0,0,peak_hour,187,76,399.75801844424814,569.3635308341114,399.75801844424814,404.1972592592467,393.87115826262624,1.472605904074668,1.472605904074668,0,0.5486839945660904,0,0,
1.0,0,peak_hour,33,172,485.86685156946714,485.86685156946714,485.86685156946714,485.86685156946714,485.86685156946714,0.0,0.0,0,0.15403900033561513,0,0,
1.0,0,peak_hour,130,144,595.2632573763302,703.1104573736568,595.2632573763302,589.9953130651634,589.9953130651634,0.884977234171268,0.884977234171268,0,0.2172210006392561,0,0,
1.0,0,peak_hour,90,166,571.2338394406271,807.9403747742389,571.2338394406271,522.4705616033258,536.1288318483572,6.1454705881300695,6.1454705881300695,0,0.31041799957165495,0,0,
1.0,0,peak_hour,131,28,641.1937334102404,694.4419927147837,641.1937334102404,641.1937334102404,641.1937334102404,0.0,0.0,0,1.0015500010922551,0,0,
1.0,0,peak_hour,50,23,483.8661782731785,483.46693633994056,483.8661782731785,482.69626633538155,482.69626633538155,0.24178419371490711,0.24178419371490711,0,0.8017759973881766,0,0,
1.0,0,peak_hour,16,158,472.2715332075163,529.9296353664614,472.2715332075163,472.2715332075163,472.2715332075163,0.0,0.0,0,0.18684800306800753,0,0,
1.0,0,peak_hour,189,60,567.572640673436,531.9936554763992,567.572640673436,531.9936554763992,618.5727286497721,-8.985649469612117,-8.985649469612117,1,0.11833900134661235,0,0,
1.0,0,peak_hour,104,162,508.0161307416689,649.7995746992185,508.0161307416689,508.0161307416689,508.0161307416689,0.0,0.0,0,0.22483900102088228,0,0,
1.0,0,peak_hour,86,168,473.25824966346664,488.1946205949128,473.25824966346664,539.0706357891231,541.694212469066,-14.460595848939573,-14.460595848939573,0,0.19297499966342002,0,0,
1.0,0,peak_hour,66,34,427.90294693064345,427.90294693064345,427.90294693064345,427.90294693064345,427.90294693064345,0.0,0.0,0,0.17472599574830383,0,0,
1.0,0,peak_hour,148,33,602.9942731210908,621.5740981636383,602.9942731210908,602.9942731210908,605.5360407684987,-0.42152434288499385,-0.42152434288499385,0,0.22464399808086455,0,0,
1.0,0,peak_hour,34,78,673.2178137596114,610.499221306984,673.2178137596114,610.499221306984,610.499221306984,9.316240772414046,9.316240772414046,0,0.20859100186498836,0,0,
1.0,0,peak_hour,125,74,679.4983234149321,714.1824334005095,679.4983234149321,651.1464866783817,651.1464866783817,4.172466032596441,4.172466032596441,1,0.4187164995528292,0,0,
1.0,0,peak_hour,198,18,414.5793365071434,413.385175791634,414.5793365071434,413.20135549251785,413.20135549251785,0.3323805345039955,0.3323805345039955,0,0.3480669984128326,0,0,
1.0,0,peak_hour,158,200,609.63857258191,609.63857258191,609.63857258191,609.63857258191,609.63857258191,0.0,0.0,0,0.18469200585968792,0,0,
1.0,0,peak_hour,54,148,529.797573216483,618.4766452887958,529.797573216483,520.965700922902,529.797573216483,0.0,0.0,1,0.18694600294111297,0,0,
1.0,0,peak_hour,92,186,728.7362368848501,728.7362368848501,728.7362368848501,699.1269935910068,702.5208433050962,3.597377521916248,3.597377521916248,1,0.13967950144433416,0,0,
1.0,0,peak_hour,130,17,525.224493323307,751.8176787391442,525.224493323307,462.62006790250973,460.0185582807629,12.414869426587458,12.414869426587458,0,0.5120790010550991,0,0,
1.0,0,peak_hour,162,8,417.6343676067589,421.0427267345902,417.6343676067589,421.3854219687476,421.3854219687476,-0.8981670697945764,-0.8981670697945764,1,0.11715100117726251,0,0,
1.0,0,peak_hour,140,21,329.923191630116,330.045587826276,329.923191630116,329.923191630116,329.923191630116,0.0,0.0,0,0.11902600090252236,0,0,
1.0,0,peak_hour,164,35,414.3660265950163,523.8800562381613,414.3660265950163,414.1553124885744,414.3660265950163,0.0,0.0,1,0.10298750203219242,0,0,
1.0,0,peak_hour,92,71,463.0798421809935,463.0798421809935,463.0798421809935,463.0798421809935,463.0798421809935,0.0,0.0,0,0.16159000369952992,0,0,
1.0,0,peak_hour,75,171,386.4423597114434,386.4423597114434,386.4423597114434,386.4423597114434,386.4423597114434,0.0,0.0,0,0.1861749988165684,0,0,
1.0,0,peak_hour,2,185,493.19480531594814,491.3641938778813,493.19480531594814,490.7464695978283,491.21784886703756,0.4008469731639035,0.4008469731639035,0,0.3671469967230223,0,0,
1.0,0,peak_hour,50,136,483.8992235999754,485.6361590592408,483.8992235999754,484.484623672532,486.60066249049225,-0.558264770589927,-0.558264770589927,1,0.6810390004829969,0,0,
1.0,0,peak_hour,127,189,520.513511169559,549.7128814277017,520.513511169559,520.513511169559,522.5682611965279,-0.3947544074988625,-0.3947544074988625,0,0.34552099532447755,0,0,
1.0,0,peak_hour,128,106,319.3998282296494,554.8414874872577,319.3998282296494,318.3933140255964,318.3933140255964,0.3151267205220074,0.3151267205220074,0,0.48034799692686647,0,0,
1.0,0,peak_hour,37,34,366.52197298826155,366.52197298826155,366.52197298826155,357.6986524262037,357.6986524262037,2.4073101238982035,2.4073101238982035,0,0.18905899923993275,0,0,
1.0,0,peak_hour,200,205,404.6834679539757,404.6834679539757,404.6834679539757,404.6834679539757,404.6834679539757,0.0,0.0,0,0.20414500613696873,0,0,
1.0,0,peak_hour,31,184,420.5641908183675,678.7671144221773,420.5641908183675,420.5641908183675,420.5641908183675,0.0,0.0,0,2.6493520053918473,0,0,
1.0,0,peak_hour,18,154,564.4551348216604,578.6343900350355,564.4551348216604,540.049197667836,544.5181580947435,3.532074649868494,3.532074649868494,0,1.134092999564018,0,0,
1.0,0,peak_hour,69,136,574.9703130860902,798.2934994180373,574.9703130860902,528.8760397994245,556.6026147818898,3.194547246381088,3.194547246381088,0,0.4253170045558363,0,0,
1.0,0,peak_hour,183,19,368.96847018521913,369.32221292269963,368.96847018521913,363.8697846354252,363.8697846354252,1.3818756782210726,1.3818756782210726,0,0.28786500479327515,0,0,
1.0,0,peak_hour,152,154,371.4241887612545,371.4241887612545,371.4241887612545,369.9320040265631,369.9320040265631,0.40174678436211725,0.40174678436211725,0,0.8436149946646765,0,0,
1.0,0,peak_hour,184,31,315.30296335176445,326.01137368692,315.30296335176445,315.30296335176445,315.30296335176445,0.0,0.0,0,0.2014479978242889,0,0,
1.0,0,peak_hour,76,124,767.9441480181475,911.3347231937352,767.9441480181475,693.4939410952628,702.274122218112,8.551406501307653,8.551406501307653,0,0.25277899840148166,0,0,
1.0,0,peak_hour,89,29,732.0833815312734,875.8927311739496,732.0833815312734,756.737235224392,754.7798346051931,-3.100255195855733,-3.100255195855733,0,0.7526620029238984,0,0,
1.0,0,peak_hour,158,120,596.294199802762,617.2372122365447,596.294199802762,596.294199802762,596.294199802762,0.0,0.0,0,0.6522329931613058,0,0,
1.0,0,peak_hour,5,148,439.22068422097703,439.22068422097703,439.22068422097703,439.22068422097703,439.22068422097703,0.0,0.0,1,0.10954300159937702,0,0,
1.0,0,peak_hour,89,25,571.0534502733761,597.0293013858269,571.0534502733761,571.0534502733761,571.0534502733761,0.0,0.0,0,1.049947997671552,0,0,
1.0,0,peak_hour,16,82,636.1566333920975,684.1983298495854,636.1566333920975,594.6992143152537,594.6992143152537,6.516857154469285,6.516857154469285,0,0.28845899942098185,0,0,
1.0,0,peak_hour,64,197,530.7126860793542,518.0824960114384,530.7126860793542,518.0824960114384,518.0824960114384,2.379854561461772,2.379854561461772,0,0.2448899977025576,0,0,
1.0,0,off_peak,18,160,457.3219430805011,457.4356005939144,457.3219430805011,456.76901519668365,456.76901519668365,0.12090560975337458,0.12090560975337458,1,0.8750434972171206,0,0,
1.0,0,off_peak,135,90,371.09297295466865,371.09297295466865,371.09297295466865,371.09297295466865,371.09297295466865,0.0,0.0,0,0.21713100431952626,0,0,
1.0,0,off_peak,89,177,440.9501915615443,450.53693273129204,440.9501915615443,440.9501915615443,440.9501915615443,0.0,0.0,0,0.17481500253779814,0,0,
1.0,0,off_peak,152,157,377.1946760243137,377.1946760243137,377.1946760243137,376.8328962777341,376.8328962777341,0.09591326961260718,0.09591326961260718,0,0.8628860014141537,0,0,
1.0,0,off_peak,14,200,486.1354666910935,486.1354666910935,486.1354666910935,485.9278997276883,485.9278997276883,0.042697350353384386,0.042697350353384386,0,0.18829399778041989,0,0,
1.0,0,off_peak,92,184,346.1327197404894,346.05646714206273,346.1327197404894,346.05646714206273,346.05646714206273,0.02202987295850937,0.02202987295850937,0,0.1674800005275756,0,0,
1.0,0,off_peak,75,200,449.1201459538004,445.6398364965783,449.1201459538004,445.6398364965783,445.6398364965783,0.7749172439884431,0.7749172439884431,0,0.18700000509852543,0,0,
1.0,0,off_peak,187,76,325.2609179415583,324.9579813709309,325.2609179415583,324.9579813709309,324.9579813709309,0.09313648025855166,0.09313648025855166,0,0.21118499716976658,0,0,
1.0,0,off_peak,33,172,393.19758630923315,393.19758630923315,393.19758630923315,393.19758630923315,393.19758630923315,0.0,0.0,0,0.21854999795323238,0,0,
1.0,0,off_peak,130,144,334.6940279477832,334.6940279477832,334.6940279477832,334.6940279477832,334.6940279477832,0.0,0.0,0,0.1426189992344007,0,0,
1.0,0,off_peak,90,166,420.6915952638841,420.6915952638841,420.6915952638841,399.88058332460884,399.88058332460884,4.946857073819431,4.946857073819431,0,0.16997900092974305,0,0,
1.0,0,off_peak,131,28,426.21681900473646,426.21681900473646,426.21681900473646,424.2812430621394,426.21681900473646,0.0,0.0,0,0.23314999998547137,0,0,
1.0,0,off_peak,50,23,408.25870039374604,407.68670680506887,408.25870039374604,407.46774979233817,407.46774979233817,0.19373759840146393,0.19373759840146393,0,0.8262699993792921,0,0,
1.0,0,off_peak,16,158,414.7075970579427,440.9186376549823,414.7075970579427,410.9361757309168,410.9361757309168,0.9094169853124162,0.9094169853124162,0,0.22319900017464533,0,0,
1.0,0,off_peak,189,60,645.347422113689,645.347422113689,645.347422113689,463.88370111515593,463.88370111515593,28.11876437100963,28.11876437100963,0,0.1696639956207946,0,0,
1.0,0,off_peak,104,162,384.8591124476504,383.2848777965789,384.8591124476504,384.8591124476504,384.8591124476504,0.0,0.0,0,0.22663299751002342,0,0,
1.0,0,off_peak,86,168,375.7970102156827,375.7970102156827,375.7970102156827,375.7970102156827,375.7970102156827,0.0,0.0,0,0.14045499847270548,0,0,
1.0,0,off_peak,66,34,420.31699432864616,420.31699432864616,420.31699432864616,420.31699432864616,420.31699432864616,0.0,0.0,0,0.18436599930282682,0,0,
1.0,0,off_peak,148,33,369.8155093822752,369.8155093822752,369.8155093822752,369.8155093822752,369.8155093822752,0.0,0.0,0,0.1780360034899786,0,0,
1.0,0,off_peak,34,78,463.1613092721898,461.7766213022166,463.1613092721898,462.64311534962616,463.1613092721898,0.0,0.0,1,0.12972599870408885,0,0,
1.0,0,off_peak,125,74,342.4304632266502,342.2945235163286,342.4304632266502,342.0421362986784,342.0421362986784,0.11340314886494299,0.11340314886494299,0,0.6397170000127517,0,0,
1.0,0,off_peak,198,18,405.7250778700602,405.85256021214065,405.7250778700602,405.35281199516925,405.35281199516925,0.09175323271739703,0.09175323271739703,0,0.40534200525144115,0,0,
1.0,0,off_peak,158,200,486.4215610844868,486.4215610844868,486.4215610844868,486.4215610844868,486.4215610844868,0.0,0.0,0,0.1681059948168695,0,0,
1.0,0,off_peak,54,148,349.22232202210625,349.22232202210625,349.22232202210625,349.22232202210625,349.22232202210625,0.0,0.0,0,0.1684500020928681,0,0,
1.0,0,off_peak,92,186,639.019682179211,633.1065722829006,639.019682179211,633.1065722829006,633.1065722829006,0.9253408089317803,0.9253408089317803,0,0.2263610003865324,0,0,
1.0,0,off_peak,130,17,339.05155803974947,339.05155803974947,339.05155803974947,339.05155803974947,339.05155803974947,0.0,0.0,0,0.19883099594153464,0,0,
1.0,0,off_peak,162,8,421.92246595587847,421.7109170778397,421.92246595587847,421.63449673232185,421.92246595587847,0.0,0.0,1,0.17789049888961017,0,0,
1.0,0,off_peak,140,21,309.4903906178253,309.4903906178253,309.4903906178253,309.4903906178253,309.4903906178253,0.0,0.0,0,0.15234600141411647,0,0,
1.0,0,off_peak,164,35,415.51948601452324,415.51948601452324,415.51948601452324,415.51948601452324,415.51948601452324,0.0,0.0,0,0.18335700588067994,0,0,
1.0,0,off_peak,92,71,481.9858112974302,474.4650845676067,481.9858112974302,474.4650845676067,474.4650845676067,1.5603626815442684,1.5603626815442684,0,0.22881000040797517,0,0,
1.0,0,off_peak,75,171,290.66071199867446,290.66071199867446,290.66071199867446,290.66071199867446,290.66071199867446,0.0,0.0,0,0.1453789955121465,0,0,
1.0,0,off_peak,2,185,469.6549636725006,470.15113985236366,469.6549636725006,469.6549636725006,469.6549636725006,0.0,0.0,0,0.24294200557051226,0,0,
1.0,0,off_peak,50,136,422.0842289696236,422.5352123808598,422.0842289696236,421.8669213286712,421.8669213286712,0.05148442562824397,0.05148442562824397,0,0.4274059974704869,0,0,
1.0,0,off_peak,127,189,400.9530820967565,406.573940459607,400.9530820967565,400.9121933696353,400.9121933696353,0.010197883230463353,0.010197883230463353,0,0.47264600289054215,0,0,
1.0,0,off_peak,128,106,346.9663460730082,336.86760679982785,346.9663460730082,345.57253084609755,345.57253084609755,0.40171481836378503,0.40171481836378503,0,0.5066380035714246,0,0,
1.0,0,off_peak,37,34,333.8882973087119,333.8882973087119,333.8882973087119,333.8882973087119,333.8882973087119,0.0,0.0,0,0.2598610008135438,0,0,
1.0,0,off_peak,200,205,382.0432067363669,382.0432067363669,382.0432067363669,382.0432067363669,382.0432067363669,0.0,0.0,0,0.27603100170381367,0,0,
1.0,0,off_peak,31,184,446.6032932402647,443.00038359374275,446.6032932402647,446.37136167412416,446.37136167412416,0.05193234569718145,0.05193234569718145,0,1.596763999259565,0,0,
1.0,0,off_peak,18,154,419.4458099198507,403.7080947733647,419.4458099198507,403.5663107012758,403.5663107012758,3.7858285487722974,3.7858285487722974,0,1.3913479997427203,0,0,
1.0,0,off_peak,69,136,348.04518648948135,349.811825945089,348.04518648948135,348.04518648948135,348.04518648948135,0.0,0.0,0,0.20384800154715776,0,0,
1.0,0,off_peak,183,19,347.97458367213414,344.5092690458383,347.97458367213414,344.22686859918906,344.22686859918906,1.0770082784196178,1.0770082784196178,0,0.3427720002946444,0,0,
1.0,0,off_peak,152,154,374.6912869266686,358.95357178018253,374.6912869266686,358.5323185453217,358.5323185453217,4.312608524710486,4.312608524710486,0,0.7165659990278073,0,0,
1.0,0,off_peak,184,31,271.99881707356485,271.99881707356485,271.99881707356485,271.99881707356485,271.99881707356485,0.0,0.0,0,0.17649499932304025,0,0,
1.0,0,off_peak,76,124,417.4351172993041,490.53377592038146,417.4351172993041,417.4351172993041,417.4351172993041,0.0,0.0,0,0.18251500296173617,0,0,
1.0,0,off_peak,89,29,542.0890499371712,537.9658962440095,542.0890499371712,537.9658962440095,543.5385973186663,-0.26740023279627445,-0.26740023279627445,0,0.6785820005461574,0,0,
1.0,0,off_peak,158,120,378.93291325323196,378.93291325323196,378.93291325323196,378.93291325323196,378.93291325323196,0.0,0.0,0,0.14650999946752563,0,0,
1.0,0,off_peak,5,148,386.42605843026644,386.42605843026644,386.42605843026644,386.42605843026644,386.42605843026644,0.0,0.0,0,0.1588259983691387,0,0,
1.0,0,off_peak,89,25,359.19726279689945,359.19726279689945,359.19726279689945,359.19726279689945,359.19726279689945,0.0,0.0,0,0.16237299860222265,0,0,
1.0,0,off_peak,16,82,446.7065756840289,440.9569371865816,446.7065756840289,446.7065756840289,446.7065756840289,0.0,0.0,0,0.270503995125182,0,0,
1.0,0,off_peak,64,197,453.370305471036,454.77354555761036,453.370305471036,453.05036549861296,453.370305471036,0.0,0.0,1,0.18397699750494212,0,0,
1.0,0,incident,18,160,913.2348823870084,904.3291862166693,744.7928919176285,578.3146432440275,620.4685116126942,32.05816777487551,16.692476748111083,1,1.148811999883037,13,13,True
1.0,0,incident,135,90,759.1896289675155,880.3617836507021,701.2682401194098,702.7638606824785,701.2682401194098,7.62937040207962,0.0,1,0.45396699715638533,10,10,True
1.0,0,incident,89,177,998.4557199928332,980.1057520912299,640.8721701950503,646.9572690579181,745.0139258207244,25.383378461082685,-16.250004364205477,1,0.7733680031378753,11,11,True
1.0,0,incident,152,157,547.9112034381783,547.8626786423449,457.8105473072968,414.32956150099716,457.76202251146344,16.453246504364742,0.010599318018944991,2,0.4796679980548409,10,10,True
1.0,0,incident,14,200,963.7998528465381,918.0716854160308,761.8202681172078,761.7413596048074,761.4883077573545,20.991032992136887,0.043574629574202474,1,0.252938498306321,14,14,True
