,,fw_tt,fw_tt,b1_tt,b1_tt,red_vs_b1,red_vs_b1,red_vs_b2,red_vs_b2,fw_lat_ms,fw_lat_ms,n_replannings,n_replannings,gru_ms,gru_ms
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
scenario,delta,,,,,,,,,,,,,,
incident,0.05,136.308,51.55,136.308,51.55,0.0,0.0,0.0,0.0,0.068,0.045,11.8,4.511,66.058,22.681
incident,0.1,136.308,51.55,136.308,51.55,0.0,0.0,0.0,0.0,0.06,0.038,9.453,2.965,66.058,22.681
incident,0.15,136.308,51.55,136.308,51.55,0.0,0.0,0.0,0.0,0.058,0.038,7.6,2.212,66.058,22.681
incident,0.2,136.308,51.55,136.308,51.55,0.0,0.0,0.0,0.0,0.062,0.042,6.253,1.661,66.058,22.681
off_peak,0.05,136.308,51.55,136.308,51.55,0.0,0.0,0.0,0.0,0.069,0.048,11.8,4.511,67.37,9.815
off_peak,0.1,136.308,51.55,136.308,51.55,0.0,0.0,0.0,0.0,0.066,0.046,9.453,2.965,67.37,9.815
off_peak,0.15,136.308,51.55,136.308,51.55,0.0,0.0,0.0,0.0,0.062,0.044,7.6,2.212,67.37,9.815
off_peak,0.2,136.308,51.55,136.308,51.55,0.0,0.0,0.0,0.0,0.064,0.043,6.253,1.661,67.37,9.815
peak_hour,0.05,136.308,51.55,136.308,51.55,0.0,0.0,0.0,0.0,0.073,0.058,11.8,4.511,65.868,7.485
peak_hour,0.1,136.308,51.55,136.308,51.55,0.0,0.0,0.0,0.0,0.064,0.043,9.453,2.965,65.868,7.485
peak_hour,0.15,136.308,51.55,136.308,51.55,0.0,0.0,0.0,0.0,0.062,0.046,7.6,2.212,65.868,7.485
peak_hour,0.2,136.308,51.55,136.308,51.55,0.0,0.0,0.0,0.0,0.06,0.042,6.253,1.661,65.868,7.485
