,,fw_tt_s,fw_tt_s,b1_tt_s,b1_tt_s,red_vs_b1,red_vs_b1,red_vs_b2,red_vs_b2,red_vs_b4,red_vs_b4,fw_lat_ms,fw_lat_ms,n_replannings,n_replannings,gru_ms,gru_ms
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
scenario,delta,,,,,,,,,,,,,,,,
incident,0.05,598.054,109.789,727.464,172.514,16.256,10.749,15.082,13.499,-3.695,8.215,0.401,0.35,1.067,0.445,39.806,1.206
incident,0.1,598.139,109.848,727.464,172.514,16.244,10.757,15.071,13.503,-3.708,8.208,0.4,0.357,1.053,0.432,39.806,1.206
incident,0.15,599.664,113.69,727.464,172.514,16.116,10.64,14.927,13.479,-3.907,8.468,0.399,0.348,1.027,0.434,39.806,1.206
incident,0.2,599.728,113.798,727.464,172.514,16.127,10.502,14.964,13.218,-3.902,8.29,0.4,0.351,0.987,0.419,39.806,1.206
off_peak,0.05,403.37,62.143,403.514,62.519,0.011,1.514,0.36,2.588,-0.047,0.18,0.332,0.393,0.04,0.197,39.255,0.854
off_peak,0.1,403.37,62.143,403.514,62.519,0.011,1.514,0.36,2.588,-0.047,0.18,0.331,0.401,0.04,0.197,39.255,0.854
off_peak,0.15,403.37,62.143,403.514,62.519,0.011,1.514,0.36,2.588,-0.047,0.18,0.335,0.407,0.04,0.197,39.255,0.854
off_peak,0.2,403.37,62.143,403.514,62.519,0.011,1.514,0.36,2.588,-0.047,0.18,0.33,0.399,0.04,0.197,39.255,0.854
peak_hour,0.05,507.035,102.623,513.092,107.97,0.912,4.616,6.706,12.009,-1.359,4.603,0.376,0.441,0.24,0.43,38.905,1.06
peak_hour,0.1,506.603,102.428,513.092,107.97,0.987,4.655,6.76,12.121,-1.276,4.522,0.37,0.392,0.227,0.421,38.905,1.06
peak_hour,0.15,506.119,101.399,513.092,107.97,1.05,4.726,6.813,12.183,-1.206,4.481,0.37,0.398,0.213,0.412,38.905,1.06
peak_hour,0.2,505.414,100.575,513.092,107.97,1.161,4.764,6.916,12.208,-1.089,4.433,0.389,0.411,0.133,0.342,38.905,1.06
