,,framework_tt_s,framework_tt_s,framework_tt_s,b1_dijkstra_tt_s,b1_dijkstra_tt_s,b1_dijkstra_tt_s,b2_static_astar_tt_s,b2_static_astar_tt_s,b2_static_astar_tt_s,framework_lat_ms,framework_lat_ms,framework_lat_ms,framework_n_replannings,framework_n_replannings,framework_n_replannings,reduction_vs_dijkstra_pct,reduction_vs_dijkstra_pct,reduction_vs_dijkstra_pct,reduction_vs_static_astar_pct,reduction_vs_static_astar_pct,reduction_vs_static_astar_pct,reduction_vs_oracle_pct,reduction_vs_oracle_pct,reduction_vs_oracle_pct,gru_inference_ms,gru_inference_ms,gru_inference_ms
,,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median
scenario,delta,,,,,,,,,,,,,,,,,,,,,,,,,,,
incident,0.05,123.098,48.11,119.122,587.228,226.772,597.015,588.342,226.565,597.015,0.174,0.132,0.127,0.0,0.0,0.0,78.364,5.902,78.337,78.395,5.943,78.396,78.364,5.902,78.337,0.0,0.0,0.0
incident,0.1,123.098,48.11,119.122,587.228,226.772,597.015,588.342,226.565,597.015,0.161,0.126,0.112,0.0,0.0,0.0,78.364,5.902,78.337,78.395,5.943,78.396,78.364,5.902,78.337,0.0,0.0,0.0
incident,0.15,123.098,48.11,119.122,587.228,226.772,597.015,588.342,226.565,597.015,0.161,0.13,0.113,0.0,0.0,0.0,78.364,5.902,78.337,78.395,5.943,78.396,78.364,5.902,78.337,0.0,0.0,0.0
incident,0.2,123.098,48.11,119.122,587.228,226.772,597.015,588.342,226.565,597.015,0.18,0.163,0.115,0.0,0.0,0.0,78.364,5.902,78.337,78.395,5.943,78.396,78.364,5.902,78.337,0.0,0.0,0.0
off_peak,0.05,123.078,48.096,119.039,587.555,227.127,597.015,588.342,226.565,597.015,0.189,0.149,0.133,0.0,0.0,0.0,78.354,5.952,78.317,78.398,5.943,78.399,78.354,5.952,78.317,0.0,0.0,0.0
off_peak,0.1,123.078,48.096,119.039,587.555,227.127,597.015,588.342,226.565,597.015,0.177,0.181,0.119,0.0,0.0,0.0,78.354,5.952,78.317,78.398,5.943,78.399,78.354,5.952,78.317,0.0,0.0,0.0
off_peak,0.15,123.078,48.096,119.039,587.555,227.127,597.015,588.342,226.565,597.015,0.164,0.147,0.107,0.0,0.0,0.0,78.354,5.952,78.317,78.398,5.943,78.399,78.354,5.952,78.317,0.0,0.0,0.0
off_peak,0.2,123.078,48.096,119.039,587.555,227.127,597.015,588.342,226.565,597.015,0.168,0.162,0.107,0.0,0.0,0.0,78.354,5.952,78.317,78.398,5.943,78.399,78.354,5.952,78.317,0.0,0.0,0.0
peak_hour,0.05,123.088,48.096,119.013,588.342,226.565,597.015,588.342,226.565,597.015,0.168,0.133,0.128,0.0,0.0,0.0,78.396,5.942,78.396,78.396,5.942,78.396,78.396,5.942,78.396,0.0,0.0,0.0
peak_hour,0.1,123.088,48.096,119.013,588.342,226.565,597.015,588.342,226.565,597.015,0.166,0.16,0.112,0.0,0.0,0.0,78.396,5.942,78.396,78.396,5.942,78.396,78.396,5.942,78.396,0.0,0.0,0.0
peak_hour,0.15,123.088,48.096,119.013,588.342,226.565,597.015,588.342,226.565,597.015,0.17,0.163,0.114,0.0,0.0,0.0,78.396,5.942,78.396,78.396,5.942,78.396,78.396,5.942,78.396,0.0,0.0,0.0
peak_hour,0.2,123.088,48.096,119.013,588.342,226.565,597.015,588.342,226.565,597.015,0.157,0.118,0.122,0.0,0.0,0.0,78.396,5.942,78.396,78.396,5.942,78.396,78.396,5.942,78.396,0.0,0.0,0.0
